id,combined_features,title
322460,"['crooks', 'coronets'] ['two', 'crooks', 'hired', 'rob', 'eccentric', 'old', 'lady', 'estate', 'get', 'know', 'ca', 'bring'] 10.0 ['Comedy'] ['Comedy'] ['Comedy']",Crooks and Coronets
144183,"['heavy', 'weather'] ['blandings', 'castle', 'earl', 'emsworth', 'cares', 'prize', 'pig', 'empress', 'wilfully', 'ignorant', 'fact', 'brother', 'planning', 'publish', 'book', 'might', 'ruin', 'family', 'name', 'forever', 'moreover', 'earl', 'nephew', 'might', 'cause', 'family', 'major', 'damage', 'getting', 'married', 'terribly', 'unsuitable', 'chorus', 'girl', 'adaptation', 'wodehouse', 'novel', 'name'] 10.0 ['Comedy' 'TVMovie'] ['Comedy' 'TVMovie'] ['Comedy' 'TVMovie']",Heavy Weather
28469,"['der', 'herr', 'karl'] ['overview', 'found'] 10.0 ['Comedy'] ['Comedy'] ['Comedy']",Der Herr Karl
113364,"['stealing', 'nation'] ['tells', 'story', 'literally', 'history', 'british', 'governments', 'conspiring', 'american', 'officials', 'tricked', 'leaving', 'expelled', 'entire', 'population', 'chagos', 'islands', 'indian', 'ocean', 'aim', 'give', 'principal', 'island', 'crown', 'colony', 'diego', 'garcia', 'americans', 'wanted', 'major', 'military', 'base', 'indeed', 'diego', 'garcia', 'us', 'planes', 'since', 'bombed', 'afghanistan', 'iraq', 'story', 'told', 'islanders', 'dumped', 'slums', 'mauritius', 'words', 'british', 'officials', 'left', 'trail', 'international', 'criminal', 'court', 'describes', 'crime', 'humanity'] 10.0 ['Documentary'] ['Documentary'] ['Documentary']",Stealing a Nation
241804,"['fearless', 'fagan'] ['young', 'man', 'brings', 'pet', 'lion', 'drafted', 'army', 'comedy'] 10.0 ['Comedy'] ['Comedy'] ['Comedy']",Fearless Fagan
362100,"['aashiq'] ['pooja', 'chander', 'kapoor', 'conversation', 'telephone', 'finally', 'meet', 'reveal', 'fell', 'love', 'chander', 'lives', 'advocate', 'dad', 'dilip', 'dev', 'kapoor', 'pooja', 'lives', 'wealthy', 'stressful', 'family', 'life', 'alcoholic', 'dad', 'dai', 'maa', 'mother', 'unfortunately', 'pooja', 'parents', 'would', 'like', 'marry', 'person', 'choice', 'pits', 'chander', 'one', 'day', 'pooja', 'goes', 'missing', 'police', 'headed', 'rowdy', 'inspector', 'mathur', 'arrests', 'chander', 'abducting', 'much', 'shock', 'chander', 'escapes', 'police', 'custody', 'begins', 'pooja'] 10.0 ['SinDato'] ['SinDato'] ['SinDato']",Aashiq
132812,"['cowboy', 'amor'] ['documentary', 'ivan', 'thompson', 'cowboy', 'cupid', 'matches', 'immigrant', 'mexican', 'women', 'available', 'american', 'men'] 10.0 ['Documentary'] ['Documentary'] ['Documentary']",Cowboy del Amor
412669,"['first', 'round'] ['tim', 'tucker', 'dylan', 'bruce', 'star', 'forward', 'broke', 'knee', 'never', 'got', 'drafted', 'nhl', 'injury', 'tim', 'left', 'hockey', 'became', 'hitman', 'ten', 'years', 'later', 'finds', 'back', 'town', 'look', 'brother', 'matthew', 'percy', 'hynes', 'white', 'chance', 'set', 'things', 'right', 'past', 'wreak', 'havoc', 'shot', 'redemption', 'written', 'directed', 'brett', 'jason', 'butler', 'first', 'round', 'gun', 'toting', 'bad', 'ass', 'comedy', 'set', 'blue', 'collar', 'town'] 10.0 ['Action' 'Comedy'] ['Action' 'Comedy'] ['Action' 'Comedy']",First Round Down
58372,"['reckless'] ['christmas', 'eve', 'relentlessly', 'cheerful', 'woman', 'escapes', 'killers', 'hired', 'husband', 'embarks', 'series', 'strange', 'encounters'] 10.0 ['Fantasy' 'Comedy' 'Drama'] ['Fantasy' 'Comedy' 'Drama'] ['Fantasy' 'Comedy' 'Drama']",Reckless
162611,"['portrait', 'young', 'man', 'three', 'movements'] ['film', 'comprised', 'mostly', 'long', 'takes', 'natural', 'events', 'flow', 'tide', 'seashore', 'leaves', 'tree', 'clouds', 'sky'] 10.0 ['SinDato'] ['SinDato'] ['SinDato']",Portrait of a Young Man in Three Movements
