id,combined_features,title
19837,"['beer', 'wars'] ['america', 'size', 'matters', 'bigger', 'power', 'especially', 'business', 'world', 'anat', 'baron', 'takes', 'holds', 'barred', 'exploration', 'beer', 'industry', 'ultimately', 'reveals', 'truth', 'behind', 'label', 'favorite', 'beer', 'told', 'insider', 'perspective', 'film', 'goes', 'behind', 'scenes', 'daily', 'battles', 'wars', 'dominate', 'industry'] 5.9 ['Documentary'] ['Documentary'] ['Documentary']",Beer Wars
73578,"['jalsa'] ['sanjay', 'pawan', 'kalyan', 'falls', 'love', 'indu', 'kamalini', 'mukherjee', 'father', 'rammohan', 'reddy', 'prakash', 'raj', 'doesnt', 'approve', 'amp', 'married', 'someone', 'else', 'later', 'bhagyamathi', 'ileana', 'falls', 'amp', 'goes', 'meet', 'father', 'turns', 'rammohan', 'reddy', 'somewhere', 'sanjays', 'life', 'naxal', 'depicted'] 7.3 ['SinDato'] ['SinDato'] ['SinDato']",Jalsa
2323,"['field', 'dreams'] ['ray', 'kinsella', 'iowa', 'farmer', 'hears', 'mysterious', 'voice', 'telling', 'turn', 'cornfield', 'baseball', 'diamond', 'voice', 'directions', 'stop', 'even', 'spirits', 'deceased', 'ballplayers', 'turn', 'play'] 7.1 ['Fantasy' 'Drama'] ['Fantasy' 'Drama'] ['Fantasy' 'Drama']",Field of Dreams
155661,"['mars', 'destruction'] ['time', 'space', 'mission', 'mars', 'ends', 'destruction', 'strange', 'monsters', 'called', 'ancients', 'begin', 'appearing', 'around', 'tokyo', 'group', 'specialists', 'consisting', 'three', 'girls', 'one', 'troubled', 'young', 'boy', 'must', 'fight', 'ancients', 'come', 'understand', 'exactly', 'fighting', 'one', 'ancients', 'tells', 'true', 'invaders', 'earth', 'must', 'search', 'within', 'grasp', 'truly', 'reality'] 2.0 ['Animation' 'Horror' 'ScienceFiction'] ['Animation' 'Horror' 'ScienceFiction'] ['Animation' 'Horror' 'ScienceFiction']",Mars of Destruction
61891,"['anonymous'] ['set', 'backdrop', 'succession', 'queen', 'elizabeth', 'essex', 'rebellion', 'story', 'advances', 'theory', 'fact', 'edward', 'vere', 'earl', 'oxford', 'penned', 'shakespeare', 'plays'] 6.3 ['Thriller' 'History' 'Drama'] ['Thriller' 'History' 'Drama'] ['Thriller' 'History' 'Drama']",Anonymous
377150,"['dragon', 'arrives'] ['orange', 'chevrolet', 'impala', 'drives', 'across', 'cemetery', 'towards', 'abandoned', 'shipwreck', 'middle', 'desert', 'landscape', 'january', 'day', 'iranian', 'prime', 'minister', 'shot', 'dead', 'front', 'parliament', 'building', 'inside', 'wreck', 'banished', 'political', 'prisoner', 'hung', 'walls', 'covered', 'diary', 'entries', 'literary', 'quotes', 'strange', 'symbols', 'help', 'police', 'inspector', 'babak', 'hafizi', 'investigations', 'shed', 'light', 'always', 'earthquake', 'whenever', 'somebody', 'buried', 'desert', 'cemetery'] 3.9 ['SinDato'] ['SinDato'] ['SinDato']",A Dragon Arrives!
17223,"['two', 'tigers'] ['overview', 'found'] 3.5 ['Action' 'Thriller' 'Foreign' 'Adventure'] ['Action' 'Thriller' 'Foreign' 'Adventure'] ['Action' 'Thriller' 'Foreign' 'Adventure']",Two Tigers
41581,"['dunno', 'moon'] ['neither', 'adults', 'kids', 'somewhere', 'living', 'separate', 'boys', 'girls', 'cozy', 'dorms', 'whatever', 'love', 'inventors', 'artists', 'poets', 'mechanists', 'scientists', 'dreamers', 'enthusiastic', 'creative', 'folks', 'enjoy', 'lifestyles', 'entertain', 'different', 'tricks', 'practical', 'jokes', 'main', 'hero', 'stands', 'crowd', 'others', 'try', 'live', 'normal', 'life', 'socializing', 'never', 'rested', 'always', 'coming', 'different', 'unpredictable', 'unexpected', 'moves', 'always', 'make', 'viewers', 'burst', 'laugh'] 7.0 ['Comedy' 'Animation' 'Adventure'] ['Comedy' 'Animation' 'Adventure'] ['Comedy' 'Animation' 'Adventure']",Dunno on the Moon
2270,"['stardust'] ['countryside', 'town', 'bordering', 'magical', 'land', 'young', 'man', 'makes', 'promise', 'beloved', 'retrieve', 'fallen', 'star', 'venturing', 'magical', 'realm', 'journey', 'takes', 'world', 'beyond', 'wildest', 'dreams', 'reveals', 'true', 'identity'] 7.2 ['Fantasy' 'Romance' 'Family' 'Adventure'] ['Fantasy' 'Romance' 'Family' 'Adventure'] ['Fantasy' 'Romance' 'Family' 'Adventure']",Stardust
333545,"['road', 'wars'] ['earth', 'water', 'supply', 'depleted', 'survivors', 'form', 'roving', 'road', 'gangs', 'armed', 'teeth', 'desperate', 'find', 'protect', 'water', 'supplies', 'new', 'breed', 'humans', 'emerges', 'survivors', 'must', 'contend', 'whole', 'new', 'threat', 'existence'] 3.0 ['Action' 'ScienceFiction'] ['Action' 'ScienceFiction'] ['Action' 'ScienceFiction']",Road Wars
84086,"['one', 'foot', 'heaven'] ['episodic', 'look', 'life', 'minister', 'family', 'move', 'one', 'parish', 'another'] 7.8 ['Drama'] ['Drama'] ['Drama']",One Foot in Heaven
210937,"['pursuit', 'happiness'] ['advertising', 'executive', 'fails', 'realize', 'woman', 'dreams', 'best', 'friend', 'since', 'first', 'grade', 'married', 'cheating'] 0.0 ['SinDato'] ['SinDato'] ['SinDato']",Pursuit of Happiness
17908,"['dog', 'skip'] ['shy', 'boy', 'unable', 'make', 'friends', 'yazoo', 'city', 'mississippi', 'parents', 'give', 'terrier', 'puppy', 'ninth', 'birthday', 'dog', 'names', 'skip', 'becomes', 'well', 'known', 'loved', 'throughout', 'community', 'enriches', 'life', 'boy', 'willie', 'grows', 'manhood', 'based', 'mississippi', 'memoir', 'late', 'willie', 'morris'] 6.5 ['Comedy' 'Family' 'Drama'] ['Comedy' 'Family' 'Drama'] ['Comedy' 'Family' 'Drama']",My Dog Skip
255576,"['yanco'] ['engaging', 'sentimental', 'tale', 'begins', 'little', 'boy', 'ricardo', 'ancona', 'starts', 'manifesting', 'greater', 'greater', 'talent', 'music', 'time', 'supersensitivity', 'sounds', 'overly', 'astute', 'hearing', 'drives', 'woods', 'away', 'cacophony', 'town', 'hustle', 'bustle', 'woods', 'meets', 'kindly', 'old', 'hermit', 'teaches', 'play', 'violin', 'made', 'old', 'man', 'dies', 'violin', 'ends', 'pawn', 'shop', 'night', 'boy', 'sneaks', 'play', 'secret', 'haunting', 'nightly', 'music', 'sets', 'town', 'edge', 'people', 'think', 'evil', 'spirit', 'loose'] 5.7 ['Drama'] ['Drama'] ['Drama']",Yanco
72473,"['belle', 'starr'] ['family', 'mansion', 'burned', 'yankee', 'soldiers', 'hiding', 'rebel', 'leader', 'captain', 'sam', 'starr', 'scott', 'belle', 'shirley', 'tierney', 'vows', 'take', 'revenge', 'breaking', 'starr', 'prison', 'joins', 'small', 'guerrilla', 'group', 'series', 'raids', 'banks', 'railroads', 'carpetbaggers', 'enemy', 'troops', 'belle', 'bravado', 'attacks', 'earns', 'reputation', 'amongst', 'locals', 'well', 'love', 'starr', 'pair', 'get', 'married', 'relationship', 'starts', 'break', 'sam', 'starr', 'lets', 'couple', 'psychotic', 'rebels', 'gang', 'leaving', 'belle', 'wonder', 'really', 'cares', 'southern', 'cause'] 6.0 ['Western'] ['Western'] ['Western']",Belle Starr
